sku,msku,panels,Status,Status.1,image
pillow_van_map,CSTE_0006_ST_Bts_Pillow_Van,GL FK,Active,Active Listing,#REF!
Van_Pillow_map,CSTE_0006_ST_Bts_Pillow_Van,GL FK,Active,Active Listing,#REF!
BTS_VAN,CSTE_0006_ST_Bts_Pillow_Van,GL FK,Active,Active Listing,#REF!
van_pillow_1,CSTE_0006_ST_Bts_Pillow_Van,GL FK,Active,Active Listing,#REF!
FBA_pillow white_green,CSTE_0006_ST_Bts_Pillow_Van,CSTE FK,Active,Active Listing,#REF!
"fk-BTS BT21 Kpop Merch Plush Large 14"" Cushion Dust Cover",CSTE_0006_ST_Bts_Pillow_Van,CSTE FK,Active,Active Listing,#REF!
32546971,CSTE_0006_ST_Bts_Pillow_Van,Rudrav Meesho,In Progress,,
BTS_VAN,CSTE_0006_ST_Bts_Pillow_Van,Rudrav Meesho,In Progress,,
bts_van_1,CSTE_0006_ST_Bts_Pillow_Van,Rudrav Meesho,In Progress,,
MsMjIlqU,CSTE_0006_ST_Bts_Pillow_Van,CSTE MEESHO,In Progress,,
ST-Cooky-bts-pink_FBA,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE AMAZON,Inactive,Deleted,
CSTE-0007-ST-BTS-PILLOW-COOKY,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE AMAZON,Inactive,Deleted,
FBAPINKCOOKY,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE AMAZON,Inactive,Deleted,
ST-Cooky-bts-pink,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE AMAZON,Active,Active Listing,#REF!
Cooky_Pillow,CSTE_0007_ST_Bts_Pillow_Cooky,CSTE AMAZON,Active,Active Listing,#REF!
BTS_COOKY,CSTE_0007_ST_Bts_Pillow_Cooky,GL FK,Active,Active Listing,#REF!
cooky_pillow_1,CSTE_0007_ST_Bts_Pillow_Cooky,GL FK,Active,Active Listing,#REF!
