Product Name,msku,Opening Stock,Buffer Stock,TLCQ,BLR7,BLR8,BOM5,BOM7,CCU1,CCX1,DEL4,DEL5,DEX3,PNQ2,PNQ3,SDED,SDEE,XHJ9,last_updated
DragonBall Slipper,CSTE_O0366_OT_DragonBall_Slipper,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Belt With Hp Sunglass,CSTE_O0367_OT_Belt_Sunglass_Combo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Rj Eye Mask,CSTE_O0368_OT_Rj_Eye Mask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Chopping board,CSTE_O0369_OT_Chopping_board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Clip Light,CSTE_O0370_OT_Clip _Light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Shooky pencil pouch,CSTE_O0371_OT_ShookyPencilPouch_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Butterfly Sling Bag,CSTE_O0372_OT_Butterfly _ Sling_Bag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Gitter Sling Bag,CSTE_O0373_OT_Gitter _ Sling_Bag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Princess Crown,CSTE_O0374_OT_Princess _CrownWand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Princess Wand,CSTE_O0375_OT_Princess _Wand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Makeup Brushes Set ,CSTE_O0376_OT_Makeup_Brushes_Set,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Tools Set,CSTE_O0377_OT_Tools_Set_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Dancing Cactus,CSTE_O0378_OT_Dancing_Cactus_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Naruto Action Figure Set,CSTE_O0379_OT_Naruto_ ActionFigure_Set,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
peppa pig spoon set,CSTE_O0380_OT_PepaPig_Spoon_set,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Goku keychain,CSTE_O0381_OT_Goku _keychain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
OrangeBlack Bts Diary,CSTE_O0382_OT_OrangeBlack_Bts_Diary,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
BTS21 Multicolour Diary,CSTE_O0383_OT_BTS21 _Multicolour_Diary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Sling Bag Bear,CSTE_O0383_OT_Sling_Bag_Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Barbie Doll ,CSTE_O0384_OT_Barbie_Doll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Barbie Cell phone,CSTE_O0385_OT_Barbie _Cell Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Candle Holder Deer,CSTE_O0386_OT_Candle_Holder_Deer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Holi T-Shirt ,CSTE_O0387_OT_Holi_Tshirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Holi Gulal Rang,CSTE_O0388_OT_Holi_Gulal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Holi Colour Fog,CSTE_O0389_OT_Holi_Colour_Fog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Toiletry Travel Bottle,CSTE_O0390_OT_Toiletry_Bottles,35,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:33
FlowerPink Sunglass Case,CSTE_O0391_OT_SG_Case_FlowerPink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
FlowerBlue Sunglass Case,CSTE_O0392_OT_SG_Case_FlowerBlue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HeartBlack Sunglass Case,CSTE_O0393_OT_SG_Case_HeartBlack,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
HeartPink Sunglass Case,CSTE_O0394_OT_SG_Case_HeartPink,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
BunnyPink Sunglass Case,CSTE_O0395_OT_SG_Case_BunnyPink,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
BunnyWhite Sunglass Case,CSTE_O0396_OT_SG_Case_BunnyWhite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Goggle Black Sunglass Case,CSTE_O0397_OT_SG_Case_GoggleBlack,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Circle pink Sunglass Case,CSTE_O0398_OT_SG_Case_CirclePink,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Horn Black Sunglass Case,CSTE_O0399_OT_SG_Case_HornBlack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder pink,CSTE_O0400_OT_KeyHolder_WinkCat_Pink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder purple,CSTE_O0401_OT_KeyHolder_WinkCat_Purple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder Black,CSTE_O0402_OT_KeyHolder_WinkCat_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder Cream,CSTE_O0403_OT_KeyHolder_WinkCat_Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder White,CSTE_O0404_OT_KeyHolder_WinkCat_White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Wink Cat Keyholder Green,CSTE_O0405_OT_KeyHolder_WinkCat_Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cat KeyHolder Blue,CSTE_O0406_OT_KeyHolder_Cat_Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cat KeyHolder Pink,CSTE_O0407_OT_KeyHolder_Cat_Pink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cat KeyHolder Green,CSTE_O0408_OT_KeyHolder_Cat_Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Cat KeyHolder White,CSTE_O0409_OT_KeyHolder_Cat_White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Sunglass Orgnizer Brown,CSTE_O0410_OT_SG_Orgnizer_Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Sunglass Orgnizer Black,CSTE_O0411_OT_SG_Orgnizer_Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Man on Moon Lamp,CSTE_O0412_OT_Lamp_Man_On_Moon,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
dolphin Lamp,CSTE_O0413_OT_Lamp_Dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Dolphin Cloud Lamp,CSTE_O0414_OT_Lamp_Dolphin_Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
Unicorn Geometry Box,CSTE_O0415_OT_Unicorn_Geometry_Box,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-22 00:40:32
